category,file,status,size,content_type,url
01_煤矿安全规程_顶板管理_冲击地压章节,2025版煤矿安全规程_全文_应急管理部.html,OK,7353,text/html,https://www.mem.gov.cn:10443/gk/zfxxgkpt/fdzdgknr/gz11/202508/t20250804_553279.shtml
01_煤矿安全规程_顶板管理_冲击地压章节,应急管理部令第17号_公布令.html,OK,8668,text/html,https://www.mem.gov.cn:10443/gk/zfxxgkpt/fdzdgknr/202508/t20250804_553277.shtml
01_煤矿安全规程_顶板管理_冲击地压章节,国务院公报2025年第28期_煤矿安全规程.html,OK,706063,text/html,https://www.gov.cn/gongbao/2025/issue_12326/202510/content_7043684.html
01_煤矿安全规程_顶板管理_冲击地压章节,2022年修改煤矿安全规程的决定_令第8号.html,OK,56669,text/html,https://www.gov.cn/gongbao/content/2022/content_5683852.htm
01_煤矿安全规程_顶板管理_冲击地压章节,2016版煤矿安全规程全文.pdf,OK,1426902,application/pdf,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/201602/W020211228709100172636.pdf
01_煤矿安全规程_顶板管理_冲击地压章节,2006年修改规程第68条158条决定_总局令第10号.html,OK,9895,text/html,https://www.mem.gov.cn/gk/gwgg/agwzlfl/zjl_01/200611/t20061106_233732.shtml
01_煤矿安全规程_顶板管理_冲击地压章节,煤矿安全规程第68条158条修订问答.html,OK,13020,text/html,https://www.mem.gov.cn/gk/zcjd/200611/t20061114_232805.shtml
01_煤矿安全规程_顶板管理_冲击地压章节,国家矿山安全监察局关于贯彻落实煤矿安全规程的通知_2025.html,OK,40923,text/html;charset=UTF-8,https://jl.chinamine-safety.gov.cn/web/searchInfo.shtml?infoid=6450510772880004
01_煤矿安全规程_顶板管理_冲击地压章节,煤矿安全规程2025版新旧对照表.pdf,OK,3021162,application/pdf,http://yjgl.xz.gov.cn/yjgl/af3f9846-988d-4aff-952f-cf2329954a51/19ed9a32-a2a6-4e17-bf67-a79ac0aed810/%e7%85%a4%e7%9f%bf%e5%ae%89%e5%85%a8%e8%a7%84%e7%a8%8b2025%e7%89%88%e6%96%b0%e6%97%a7%e5%af%b9%e7%85%a7%e8%a1%a8.pdf
01_煤矿安全规程_顶板管理_冲击地压章节,3项煤矿顶板管理规定_印发通知.html,OK,14603,text/html,https://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/tzgg/202212/t20221229_437761.shtml
