category,file,status,size,content_type,url
01_煤矿安全规程_顶板管理_冲击地压章节,四川局开展煤矿顶板管理3项规定专题培训.html,OK,21826,text/html; charset=utf-8,https://sc.chinamine-safety.gov.cn/page/inf_src05e1e7bb-0ee5-438d-8e3d-5a010daa8888.html
02_煤矿顶板事故应急预案,永城市煤矿生产安全事故应急预案.html,OK,74670,text/html; charset=utf-8,https://www.ycs.gov.cn/xzxxgk/msz/fdzdgknr42/yjgl59/yjya50/content_15504
02_煤矿顶板事故应急预案,伊州区煤矿生产安全事故应急救援预案_修订.html,FAIL,0,,https://www.yizhou.gov.cn/xjhm/zfbwj/202402/cbfa33edbfb94ee7add47c4fa4076909.shtml|http://www.yizhou.gov.cn/xjhm/zfbwj/202402/cbfa33edbfb94ee7add47c4fa4076909.shtml|https://www.yizhou.gov.cn/xjhm/zcjd/202402/e3553762b93e425cb6fd2f1c6e9d4c3d.shtml
02_煤矿顶板事故应急预案,新乡市煤矿生产安全事故应急预案.html,OK,66488,text/html,https://www.xinxiang.gov.cn/zwgk/public/6638640/9390051.html
02_煤矿顶板事故应急预案,罗庄区煤矿生产安全事故应急预案2025.html,OK,76992,text/html,http://www.luozhuang.gov.cn/info/5764/92400.htm
02_煤矿顶板事故应急预案,城子河区地方煤矿生产安全事故应急预案.html,FAIL,0,,https://czh.gov.cn/czh/75dc5d97d9974c139d34b4c10f8662e8/202508/c06_339011.shtml
02_煤矿顶板事故应急预案,鸡西市煤矿生产安全事故应急预案.html,FAIL,0,,http://www.jixi.gov.cn/jixi/c100398/202502/c06_322609.shtml
02_煤矿顶板事故应急预案,昆明市煤矿事故应急预案.html,OK,120254,text/html,https://www.km.gov.cn/c/2025-10-31/5031289.shtml
03_冲击地压防治技术规范,2025年防治煤矿冲击地压细则修订稿全文.pdf,FAIL,0,,https://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/zqyj_01/202507/W020250704461998043915.pdf|http://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/zqyj_01/202507/W020250704461998043915.pdf
03_冲击地压防治技术规范,征求防治煤矿冲击地压细则修订稿意见函.html,OK,3608,text/html; charset=utf-8,https://nmg.chinamine-safety.gov.cn/Item/14312.aspx
03_冲击地压防治技术规范,2017年征求防治煤矿冲击地压细则意见通知.html,FAIL,0,,http://www.mem.gov.cn/gk/gwgg/agwzlfl/tz_01/201711/t20171102_235245.shtml|https://www.mem.gov.cn/gk/gwgg/agwzlfl/tz_01/201711/t20171102_235245.shtml
05_近五年煤矿顶板事故通报,2025-08-24襄矿西故县煤业顶板事故调查报告.pdf,FAIL,0,,http://shanxi.chinamine-safety.gov.cn/api/v1/annex/34658|https://shanxi.chinamine-safety.gov.cn/api/v1/annex/34658
05_近五年煤矿顶板事故通报,2024-04-20渑池九六八煤业顶板事故调查报告.pdf,OK,1231798,application/pdf;charset=UTF-8,http://hn.chinamine-safety.gov.cn/sitesources/hnsafety/upload/202405/20240531131456354.pdf
05_近五年煤矿顶板事故通报,2024-01-14新化兴华煤业顶板事故调查报告.html,FAIL,0,,https://hun.chinamine-safety.gov.cn/zwgk/jczfxxgk/sgdcbb/202402/t20240223_478501.html|http://hun.chinamine-safety.gov.cn/zwgk/jczfxxgk/sgdcbb/202402/t20240223_478501.html
05_近五年煤矿顶板事故通报,2023-08-27新郑煤电顶板事故调查报告.pdf,OK,529867,application/pdf;charset=UTF-8,http://hn.chinamine-safety.gov.cn/sitesources/hnsafety/upload/202309/20230922081703036.pdf
05_近五年煤矿顶板事故通报,2022-08-04山西凤凰台煤业较大顶板事故案例.html,OK,10105,text/html,https://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/sgcc/sgalks/202309/t20230928_464575.shtml
05_近五年煤矿顶板事故通报,2023-03-19宁夏丁家梁煤矿顶板事故调查报告.html,FAIL,0,,https://nx.chinamine-safety.gov.cn/zwgk/sg/202307/t20230731_755448.html|http://nx.chinamine-safety.gov.cn/zwgk/sg/202307/t20230731_755448.html
05_近五年煤矿顶板事故通报,2021-11-11贵州猴子田煤矿顶板事故挂牌督办通知.html,OK,17884,text/html,https://yjgl.guizhou.gov.cn/gk/zfxxgk/fdzdgk/sgxx_5888758/202111/t20211129_71826273.html
